swc,kind,name,signature,scope,file,line,direction,port,data_element,callee,caller_function,confidence,evidence
DemoSwc,function,DemoSwc_MainFunction,void DemoSwc_MainFunction(void),unknown,C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c,6,,,,,,medium,regex fallback (function def pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c
DemoSwc,function,another_function,void another_function(void),unknown,C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c,15,,,,,,medium,regex fallback (function def pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c
DemoSwc,function,get_counter,int get_counter(void),unknown,C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c,21,,,,,,medium,regex fallback (function def pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c
DemoSwc,function,get_global,int get_global(void),static,C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c,25,,,,,,medium,regex fallback (function def pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c
HWIOP,function,HWIOPSwc_MainFunction,void HWIOPSwc_MainFunction(void),unknown,C:\Users\Administrator\Desktop\ai_project\Asw\HWIOP\HWIOPSwc.c,6,,,,,,medium,regex fallback (function def pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\HWIOP\HWIOPSwc.c
IVC_P,function,IVC_PSwc_MainFunction,void IVC_PSwc_MainFunction(void),unknown,C:\Users\Administrator\Desktop\ai_project\Asw\IVC_P\IVC_PSwc.c,6,,,,,,medium,regex fallback (function def pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\IVC_P\IVC_PSwc.c
DemoSwc,variable,g_counter,int,static,C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c,3,,,,,,medium,regex fallback (global var pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c
DemoSwc,variable,g_global,int,unknown,C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c,4,,,,,,medium,regex fallback (global var pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c
HWIOP,variable,g_counter,int,static,C:\Users\Administrator\Desktop\ai_project\Asw\HWIOP\HWIOPSwc.c,3,,,,,,medium,regex fallback (global var pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\HWIOP\HWIOPSwc.c
HWIOP,variable,g_global,int,unknown,C:\Users\Administrator\Desktop\ai_project\Asw\HWIOP\HWIOPSwc.c,4,,,,,,medium,regex fallback (global var pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\HWIOP\HWIOPSwc.c
IVC_P,variable,g_counter,int,static,C:\Users\Administrator\Desktop\ai_project\Asw\IVC_P\IVC_PSwc.c,3,,,,,,medium,regex fallback (global var pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\IVC_P\IVC_PSwc.c
IVC_P,variable,g_global,int,unknown,C:\Users\Administrator\Desktop\ai_project\Asw\IVC_P\IVC_PSwc.c,4,,,,,,medium,regex fallback (global var pattern) | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\IVC_P\IVC_PSwc.c
DemoSwc,rte_interface,Rte_Read_PpSpeed_Speed,,,C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c,9,read,PpSpeed,Speed,,DemoSwc_MainFunction,high,regex match: \bRte_Read_([A-Za-z0-9_]+)\b | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c
DemoSwc,rte_interface,Rte_IRead_PpSpeed_Speed,,,C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c,17,read,PpSpeed,Speed,,another_function,high,regex match: \bRte_IRead_([A-Za-z0-9_]+)\b | SWC inferred from path/filename: C:\Users\Administrator\Desktop\ai_project\Asw\DemoSwc\DemoSwc.c
